-19.914299,88.116152,9.574911
-19.869290,88.116152,9.551049
-19.824280,88.116152,9.527158
-19.779271,88.116152,9.503239
-19.734262,88.116152,9.479292
-19.689252,88.116152,9.455317
-19.644243,88.116152,9.431314
-19.599233,88.116152,9.407284
-19.554224,88.116152,9.383226
-19.509214,88.116152,9.359140
-19.464205,88.116152,9.335840
-19.419196,88.116152,9.310886
-19.374186,88.116152,9.286718
-19.329177,88.116152,9.263468
-19.284167,88.116152,9.239004
-19.239158,88.116152,9.214050
-19.194148,88.116152,9.189773
-19.149139,88.116152,9.165469
-19.104129,88.116152,9.141138
-19.059120,88.116152,9.116780
-19.014111,88.116152,9.092396
-18.969101,88.116152,9.067985
-18.924092,88.116152,9.043547
-18.879082,88.116152,9.019083
-18.834073,88.116152,8.994593
-18.789063,88.116152,8.970076
-18.744054,88.116152,8.945534
-18.699045,88.116152,8.920965
-18.654035,88.116152,8.896370
-18.609026,88.116152,8.871749
-18.564016,88.116152,8.847103
-18.519007,88.116152,8.822431
-18.473997,88.116152,8.797733
-18.428988,88.116152,8.773010
-18.383978,88.116152,8.749244
-18.338969,88.116152,8.723489
-18.293960,88.116152,8.698690
-18.248950,88.116152,8.673866
-18.203941,88.116152,8.649018
-18.158931,88.116152,8.624145
-18.113922,88.116152,8.599247
-18.068912,88.116152,8.575287
-18.023903,88.116152,8.549379
-17.978893,88.116152,8.524408
-17.933884,88.116152,8.499413
-17.888875,88.116152,8.474395
-17.843865,88.116152,8.449352
-17.798856,88.116152,8.424287
-17.753846,88.116152,8.399197
-17.708837,88.116152,8.374084
-17.663827,88.116152,8.348948
-17.618818,88.116152,8.323789
-17.573809,88.116152,8.298607
-17.528799,88.116152,8.273402
-17.483790,88.116152,8.248175
-17.438780,88.116152,8.222925
-17.393771,88.116152,8.197653
-17.348761,88.116152,8.172360
-17.303752,88.116152,8.147044
-17.258742,88.116152,8.121706
-17.213733,88.116152,8.096347
-17.168724,88.116152,8.070967
-17.123714,88.116152,8.045565
-17.078705,88.116152,8.021028
-17.033695,88.116152,7.994699
-16.988686,88.116152,7.969234
-16.943676,88.116152,7.943750
-16.898667,88.116152,7.918245
-16.853658,88.116152,7.893647
-16.808648,88.116152,7.867983
-16.763639,88.116152,7.841611
-16.718629,88.116152,7.816027
-16.673620,88.116152,7.790424
-16.628610,88.116152,7.764802
-16.583601,88.116152,7.739161
-16.538591,88.116152,7.713501
-16.493582,88.116152,7.687823
-16.448573,88.116152,7.662127
-16.403563,88.116152,7.636413
-16.358554,88.116152,7.610681
-16.313544,88.116152,7.585918
-16.268535,88.116152,7.560068
-16.223525,88.116152,7.534208
-16.178516,88.116152,7.508337
-16.133506,88.116152,7.482528
-16.088497,88.116152,7.456642
-16.043488,88.116152,7.430744
-15.998478,88.116152,7.404217
-15.953469,88.116152,7.378336
-15.908459,88.116152,7.352440
-15.863450,88.116152,7.326529
-15.818440,88.116152,7.300603
-15.773431,88.116152,7.274662
-15.728422,88.116152,7.248708
-15.683412,88.116152,7.222739
-15.638403,88.116152,7.196756
-15.593393,88.116152,7.170760
-15.548384,88.116152,7.144751
-15.503374,88.116152,7.119675
-15.458365,88.116152,7.093580
-15.413355,88.116152,7.067476
-15.368346,88.116152,7.041363
-15.323337,88.116152,7.014517
-15.278327,88.116152,6.988435
-15.233318,88.116152,6.962341
-15.188308,88.116152,6.936236
-15.143299,88.116152,6.910121
-15.098289,88.116152,6.883995
-15.053280,88.116152,6.857859
-15.008271,88.116152,6.831714
-14.963261,88.116152,6.805559
-14.918252,88.116152,6.779394
-14.873242,88.116152,6.753221
-14.828233,88.116152,6.727040
-14.783223,88.116152,6.700850
-14.738214,88.116152,6.674653
