-20,88.116152,6.579037,1.311093,5.8311,-40.595391
-19.95,88.116152,6.559757,1.393116,5.696071,-40.454944
-19.9,88.116152,6.541805,1.393116,5.696071,-40.362383
-19.85,88.116152,6.523848,1.393116,5.696071,-40.269822
-19.8,88.116152,6.50558,1.393116,5.561043,-40.103974
-19.75,88.116152,6.48861,1.475139,5.426015,-39.963527
-19.7,88.116152,6.470549,1.475139,5.426015,-39.870966
-19.65,88.116152,6.451879,1.334528,5.583548,-39.82036
-19.6,88.116152,6.433831,1.334528,5.583548,-39.727799
-19.55,88.116152,6.415934,1.322811,5.606052,-39.643823
-19.5,88.116152,6.397884,1.322811,5.606052,-39.551262
-19.45,88.116152,6.380414,1.416551,5.763585,-39.573233
-19.4,88.116152,6.362426,1.416551,5.313491,-39.236381
-19.35,88.116152,6.344263,1.416551,5.313491,-39.14382
-19.3,88.116152,6.325882,1.404834,5.335996,-39.059844
-19.25,88.116152,6.308177,1.498574,5.493529,-39.081815
-19.2,88.116152,6.290122,1.498574,5.493529,-38.989254
-19.15,88.116152,6.271865,1.486857,5.516034,-38.905279
-19.1,88.116152,6.25381,1.486857,5.516034,-38.812718
-19.05,88.116152,6.235052,1.334528,5.381006,-38.599694
-19,88.116152,6.216866,1.334528,5.381006,-38.507133
-18.95,88.116152,6.199792,1.334528,5.696072,-38.585575
-18.9,88.116152,6.181751,1.334528,5.696072,-38.493014
-18.85,88.116152,6.163707,1.334528,5.696072,-38.400453
-18.8,88.116152,6.144583,1.416551,5.561043,-38.260006
-18.75,88.116152,6.126887,1.416551,5.426015,-38.094158
-18.7,88.116152,6.108718,1.416551,5.426015,-38.001596
-18.65,88.116152,6.091601,1.264223,5.290987,-37.788573
-18.6,88.116152,6.073306,1.264223,5.290987,-37.696012
-18.55,88.116152,6.055918,1.264223,5.606053,-37.774454
-18.5,88.116152,6.037635,1.264223,5.155958,-37.437602
-18.45,88.116152,6.017753,1.346246,5.471024,-37.541446
-18.4,88.116152,5.999567,1.346246,5.471024,-37.448885
-18.35,88.116152,5.98138,1.346246,5.471024,-37.356323
-18.3,88.116152,5.962638,1.346246,5.335996,-37.190475
-18.25,88.116152,5.944594,1.346246,5.200967,-37.024627
-18.2,88.116152,5.926275,1.346246,5.200967,-36.932065
-18.15,88.116152,5.907966,1.346246,5.065939,-36.766217
