experiment,run,event
18,2380,6250289
18,1988,92533632
18,2342,18598120
24,1822,295803
24,873,9460850
18,970,40941947
26,1121,17962509
22,391,258176
12,4319,1178760
26,1497,51947880
16,713,46474824
14,922,26367088
18,228,3359951
22,568,30651195
12,2891,17915271
12,2891,5411045
18,2396,16562414
18,2396,325374
18,1840,11351756
18,221,15205720
24,1241,1925517
12,4304,4880836
17,341,33151711
18,2698,6912928
12,3394,6076182
16,633,18028624
22,525,11824586
24,883,23112069
18,2259,23013484
26,552,649998
24,1587,4243063
26,1235,6397248
24,941,1829427
24,805,1930157
26,375,9313183
26,682,1743668
26,1438,71788626
12,2588,9905719
24,2084,12491035
18,2817,11286687
18,888,2511039
24,916,5804169
24,2180,9864352
24,1738,16076695
18,330,47550239
18,2716,2241675
18,883,16807783
24,1670,550786
24,1726,37931691
12,3412,54681286
24,2222,6865075
17,171,85757879
18,1393,176906
18,2293,19832022
12,5390,35145562
18,2820,14443066
26,1543,2480227
18,2687,7708251
18,853,5384428
18,1260,4716598
18,1260,3760398
18,2910,29405749
22,44,36313086
24,1834,5132417
22,171,181743
17,287,8729194
26,937,4449724
26,1190,6761619
18,739,21281126
24,1562,27751691
24,2151,22931303
24,997,15331264
18,364,25647535
12,6163,4050642
12,5064,16995077
12,5064,7298605
18,2775,38853802
14,757,34126739
24,2143,8516995
24,2143,5054261
26,1895,33000236
18,893,16184949
24,1407,15828277
18,1702,36349518
24,1866,14295875
18,1335,45950826
12,5438,74273
24,1794,12208338
12,4883,9751406
26,999,23358541
26,73,1538293
24,1626,10440852
24,1626,12479782
14,1237,3168505
12,4810,2741136
24,1559,9287788
24,888,626769
18,2801,27286563
12,3213,1336381
12,3204,26875360
16,1042,24481720
16,1055,61171540
26,1699,6556799
22,150,11122538
18,902,12545790
24,1459,3986109
18,967,43070921
26,782,713630
26,738,28068125
